Sentences,Tags
Wed Jun 13 07:31:32 2007 UTC Ch 1.0 Wed Jun 13 07:31:32 2007 UTC Ch 1.0 Wed Jun 13 07:31:32 2007 UTC Ch 1.0 Tue Jun 19 12:41:21 2007 UTC Ch 1.0 Tue Jun 26 08:46:11 2007 UTC Ch 1.1 Ch 1.1 Tue Jun 26 08:46:11 2007 UTC Ch 1.2wcc Tue Jul 24 12:57:37 2007 UTC Ch 1.2wcc Tue Jul 24 12:57:37 2007 UTC Ch 1.2wcc Tue Jul 24 12:57:37 2007 UTC Thu Jul 26 07:20:17 2007 UTC Ch 1.2 Mon Dec 3 14:15:58 2007 UTC Ch 1.3 Ch 1.4 Tue Dec 11 17:36:03 2007 UTC Tue Dec 11 17:36:03 2007 UTC Ch 1.4 Tue Dec 11 17:36:03 2007 UTC Ch 1.4 Ch 1.5 Thu Mar 27 14:58:15 2008 UTC Thu Mar 27 14:58:15 2008 UTC Ch 1.5 Thu Mar 27 14:58:15 2008 UTC Ch 1.5 Ch 1.5 Thu Mar 27 14:58:15 2008 UTC Mon May 5 11:27:48 2008 UTC Mon May 12 11:52:31 2008 UTC Thu May 22 10:24:55 2008 UTC 5ef72904221aa4090a262a24714054f0 Thu Nov 6 13:21:45 2008 UTC Ch 2.05 331eca9c7d9fd9cbe7cd192af09880a3 Thu Nov 6 13:21:45 2008 UTC Ch 2.05 db1156b072d58acdac1aeab9af2160a2 Mon Dec 29 11:37:17 2008 UTC Ch 2.07 74dbea70bfb15db31bb9f757ed4bb1a0 Mon Dec 29 11:37:17 2008 UTC Ch 2.07 eb928bca5675722c7e9e2b09eec1158a Mon Sep 14 13:22:57 2009 UTC Ch 2.11 162f415abad9708aa61db8e03bcf2f3c Mon Sep 14 15:28:07 2009 UTC Ch 2.11 448524fd62dec1151c75b55b86587784 Tue Sep 29 10:28:40 2009 UTC Ch 2.12 29bb70a40689e9e665d15716519bacfd Mon Dec 7 14:25:12 2009 UTC Ch 2.13 38d6719d6a266c6cefb8626c57378927 Ch 2.13 Mon Dec 7 14:27:53 2009 UTC 02eda1effde92bdf8462abcf40c4f776 Ch 2.14.1 Wed Feb 17 15:14:20 2010 UTC 5121ce1f96d74076df1c39748e019f42 Ch 3.00 Tue Jan 31 16:12:25 2012 UTC 28dc1ca683d6a14d0d1794a68c477604 Tue Feb 14 10:28:06 2012 UTC 40bd7846553550f38e458b8493824cb4 Ch 3.00 Wed Apr 4 16:23:44 2012 UTC Ch 3.02 ba0c777317461ed57a85ffae277044dc b86137fa5a232c614ec5405be4d13b37 Ch 3.10 Tue Dec 18 08:22:43 2012 UTC Fri Jun 28 12:16:40 2013 UTC 7872c1d88fe21d8a85f160a6666c76e8 Ch 3.20 83a48760e92bf30961b4a943d3095b0a Ch 3.20 Fri Jun 28 12:16:58 2013 UTC Mon Jun 24 10:51:01 2013 UTC Ch 3.20 3d65c18d09f47547f85c631ebeeda482 Thu Feb 6 12:37:44 2014 UTC Ch 3.25 ec7e3cfaeaac0401316d66e964be684e b407b6e5b4046da226d6e189a67f62ca Ch 3.26 Thu Jan 3 18:03:46 2013 UTC,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O O O B-hash O O O O O O B-hash O O O O O O O O O O B-hash B-hash O O O O O O O O O O O O O O B-hash O O B-hash O O O O O O O O O O O O O O O O B-hash O O O O O O O O B-hash B-hash O O O O O O O O
"The dropper iterates through each entry in scxrt2.ini , looking for paths named move-to-operational or move-to-operational.lnk .",O O O O O O O O O O O O O O O O O
A 200.63.46.23 18 weddingdressestoday.com .,O B-ip.unknown O B-url.unknown O
< % execute request ( chr ( 42 ) ) % >,O O O O O O O O O O O O
61075faba222f97d3367866793f0907b First Seen 10-12 02:50:16 10-03 01:01:31 10-03 01:01:37 10-07 08:58:00 10-12 02:50:15 10-12 02:50:15 10-08 03:32:47 03-14 02:13:01 02-16 03:25:00 Compile Time 10-01 15:37:31 10-01 11:34:07 02-20 11:09:30 01-05 01:11:33 02-20 11:09:30 09-21 09:27:43 03-06 17:32:58 02-10 15:03:30 File # 1 is the ZIP file containing samples # 2-6 inside .,B-hash O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Both of the above open a document as well as another executable ( written in C++ ) when they are double clicked .,O O O O O O O O O O O O O O O O O O O O O O O
Additional reporting on this activity and another going back to August 2014 was also recently shared on ThreatConnect .,O O O O O O O O O O O O O O O O O O O
"We would like to thank the security researchers and organizations who shared information and provided feedback , which have been crucial for this research .",O O O O O O O O O O O O O O O O O O O O O O O O O
It is interesting that this particular group has for years now deployed backdoor and downloader code in the form of .hta files .,O O O O O O O O O O O O O O O O O O O O O O O
All rights reserved .,O O O O
"Download page , winrar[.]it",O O O B-url.normal
The computing infrastructure in a typical Enterprise is more vulnerable to attack than ever before .,O O O O O O O O O O O O O O O O
SHA-1 SHA-256 File Size Icon 687464d6c668b59f85b0e02012945fe5 b3086b4d99288d50585d4c07a3fdd0970a9843fc e7dd9678b0a1c4881e80230ac716b21a41757648d71c538417755521438576f6 1233 KB,O O O O O B-hash B-hash B-hash O O
' La Russie soupçonnée d'être responsable d'un piratage informatique contre l'OSCE . ',O O O O O O O O O O O O O
This is an example of ' not knowing what they are looking for until they fi nd it ' .,O O O O O O O O O O O O O O O O O O O O
"The Dropbox user that registered the account has the following details : Name : P***** Email : P********@mail.ru The data-stealing plugins store all their output in : % USERPROFILE % \AppData\Roaming\Media Before being sent to Dropbox by the main module , the files are encrypted with Blowfish .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The links between the forums and contractors may illustrate that the trust communities begin with the Iranian security forums .,O O O O O O O O O O O O O O O O O O O O
"Two samples of the malware payload were uploaded by different sources in 2014 , but none of the antivirus vendors featured on VirusTotal flagged them as malicious .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Depending on its privileges , the malware drops the files in % ProgramFiles % or % appdata % .",O O O O O O O O O O O O O O O O O O O
"This time the attacker again used a financially-themed domain name : On the day of the Diskcoder.C outbreak , the A-record of this domain was changed to 10.0.0.1 The TeleBots group continues to evolve in order to conduct disruptive attacks against Ukraine .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"Once the sector of the backup VBR is known , EnCase was started and the image of the infected system was loaded .",O O O O O O O O O O O O O O O O O O O O O O O
"In spite of these investments , however , the Philippines is still among the most prone countries to be targeted by these sorts of APT attacks .",O O O O O O O O O O O O O O O O O O O O O O O O O O O
Figure 8 – Fake CHKDSK message displayed by Diskcoder.C .,O O O O O O O O O O
